8,12,11,10,2,1,7,9,3,16,15,5,14,13,6,4
3,16,2,7,11,5,14,8,4,13,6,10,12,15,9,1
1,14,15,6,3,4,16,13,9,11,7,12,8,5,10,2
4,5,13,9,6,12,15,10,2,14,1,8,7,11,16,3
11,10,5,2,4,9,3,7,1,15,14,16,6,8,13,12
12,9,7,1,14,15,11,5,13,4,8,6,10,3,2,16
14,3,16,4,12,8,13,6,10,2,5,7,1,9,15,11
13,6,8,15,10,16,2,1,11,12,9,3,4,14,7,5
10,7,3,14,9,13,4,11,5,6,16,1,15,2,12,8
2,4,12,5,16,7,10,3,8,9,11,15,13,1,14,6
16,1,9,13,15,6,8,14,12,3,4,2,11,7,5,10
15,8,6,11,1,2,5,12,7,10,13,14,16,4,3,9
9,2,14,8,13,10,12,15,6,1,3,11,5,16,4,7
6,11,10,3,5,14,1,4,16,7,2,13,9,12,8,15
5,13,4,16,7,11,6,2,15,8,12,9,3,10,1,14
7,15,1,12,8,3,9,16,14,5,10,4,2,6,11,13
