3,1,15,6,10,16,5,13,7,11,12,2,9,14,4,8
16,8,7,11,1,9,4,2,15,14,3,10,12,5,13,6
5,9,2,13,6,14,15,12,4,8,1,16,7,3,11,10
10,4,14,12,7,3,11,8,13,6,9,5,16,15,2,1
8,2,12,1,5,7,10,15,14,9,11,6,4,16,3,13
6,16,5,9,11,1,3,14,8,13,10,4,15,7,12,2
11,10,3,14,12,13,6,4,16,2,7,15,8,1,9,5
4,15,13,7,9,2,8,16,1,12,5,3,10,11,6,14
7,6,16,4,8,12,9,11,5,10,15,13,14,2,1,3
14,12,1,3,13,10,7,5,9,16,2,11,6,8,15,4
2,11,10,8,16,15,14,3,6,1,4,7,13,9,5,12
15,13,9,5,4,6,2,1,12,3,8,14,11,10,7,16
9,14,8,10,15,5,12,7,2,4,6,1,3,13,16,11
13,7,11,16,3,4,1,6,10,5,14,9,2,12,8,15
12,5,6,15,2,11,13,10,3,7,16,8,1,4,14,9
1,3,4,2,14,8,16,9,11,15,13,12,5,6,10,7
